id,name,categ_id/id,type,sale_ok,standard_price,default_code,attribute_line_ids/attribute_id/id,attribute_line_ids/value_ids/id
template_uwll___uwell_caliburn_x__pods__2_pack__3ml,UWLL - Uwell Caliburn X (Pods)(2-Pack) 3mL,__export__.product_category_9_bc43a31e,consu,True,3.99,,variant_type,"variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_variant_030236,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_0_8ohm,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_1_0ohm,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_1_2ohm"
template_uwll___uwell_crown_3__coils__4_pack_,UWLL - Uwell Crown 3 (Coils)(4-Pack),__export__.product_category_9_bc43a31e,consu,True,6.09,,variant_type,"variant_uwll___uwell_crown_3__coils__4_pack__0_4ohm,variant_uwll___uwell_crown_3__coils__4_pack__0_23ohm"
template_uwll___uwell_crown_x__coils__4_pack_,UWLL - Uwell Crown X (Coils)(4-Pack),__export__.product_category_9_bc43a31e,consu,True,5.04,,variant_type,"variant_uwll___uwell_crown_x__coils__4_pack__0_3ohm,variant_uwll___uwell_crown_x__coils__4_pack__0_6ohm"
template_uwll___uwell_pa__coils__4_pack_,UWLL - Uwell PA (Coils)(4-Pack),__export__.product_category_9_bc43a31e,consu,True,5.50,,variant_type,"variant_uwll___uwell_pa__coils__4_pack__0_3ohm,variant_uwll___uwell_pa__coils__4_pack__0_8ohm"
template_uwll___uwell_valyrian_2__coils__2_pack_,UWLL - Uwell Valyrian 2 (Coils)(2-Pack),__export__.product_category_9_bc43a31e,consu,True,5.84,,variant_type,"variant_uwll___uwell_valyrian_2__coils__2_pack__0_32ohm,variant_uwll___uwell_valyrian_2__coils__2_pack__0_14ohm,variant_uwll___uwell_valyrian_2__coils__2_pack__0_16ohm"
template_uwll___uwell_valyrian_3__coils__2_pack_,UWLL - Uwell Valyrian 3 (Coils)(2-Pack),__export__.product_category_9_bc43a31e,consu,True,5.62,,variant_type,"variant_uwll___uwell_valyrian_3__coils__2_pack__0_14ohm,variant_uwll___uwell_valyrian_3__coils__2_pack__0_32ohm"
template_uwll___uwell_valyrian_pod__coils__4_pack__se,UWLL - Uwell Valyrian Pod (Coils)(4-Pack) SE,__export__.product_category_9_bc43a31e,consu,True,5.99,,variant_type,"variant_uwll___uwell_valyrian_pod__coils__4_pack__se_0_6ohm,variant_uwll___uwell_valyrian_pod__coils__4_pack__se_1_0ohm"
template_vopo___voopoo_argus_e40__pods__2_pack__4_5ml,VOPO - Voopoo Argus E40 (Pods)(2-Pack) 4.5mL,__export__.product_category_9_bc43a31e,consu,True,3.59,,variant_type,"variant_vopo___voopoo_argus_e40__pods__2_pack__4_5ml_0_3ohm,variant_vopo___voopoo_argus_e40__pods__2_pack__4_5ml_0_45ohm,variant_vopo___voopoo_argus_e40__pods__2_pack__4_5ml_0_6ohm"
template_vopo___voopoo_argus_v2__pods__3_pack__3ml_top_fill,VOPO - Voopoo Argus V2 (Pods)(3-Pack) 3mL Top-Fill,__export__.product_category_9_bc43a31e,consu,True,8.70,,variant_type,"variant_vopo___voopoo_argus_v2__pods__3_pack__3ml_top_fill_0_4ohm,variant_vopo___voopoo_argus_v2__pods__3_pack__3ml_top_fill_1_0ohm"
template_vopo___voopoo_pnp__pods__2_pack_,VOPO - Voopoo PnP (Pods)(2-Pack),__export__.product_category_9_bc43a31e,consu,True,3.31,,variant_type,"variant_vopo___voopoo_pnp__pods__2_pack__variant_017409,variant_vopo___voopoo_pnp__pods__2_pack__5ml"
template_vopo___voopoo_pnp_x__coils__5_pack_,VOPO - Voopoo PnP X (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,7.51,,variant_type,"variant_vopo___voopoo_pnp_x__coils__5_pack__0_2ohm,variant_vopo___voopoo_pnp_x__coils__5_pack__0_45ohm"
