template_key,product_name,volume_ml,category,price,variant_count,template_id
BDVC - Beard (LIQ Salt)(30mL)|30.0,BDVC - Beard (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.0,9,TPL_0040
BDVC - Fifty Bar 20K (Dispo) (20000Puff)(18mL) Hidden Hills Edt|18.0,BDVC - Fifty Bar 20K (Dispo) (20000Puff)(18mL) Hidden Hills Edt,18.0,All / Saleable / Disposable E-Cig,11.0,1,TPL_0041
BDVC - Fifty Bar V2 (Dispo) (20000Puff)(18mL) White Series|18.0,BDVC - Fifty Bar V2 (Dispo) (20000Puff)(18mL) White Series,18.0,All / Saleable / Disposable E-Cig,11.0,2,TPL_0042
BLIS - Bliss Bar (Dispo) (6000Puff)(14mL)|14.0,BLIS - Bliss Bar (Dispo) (6000Puff)(14mL),14.0,All / Saleable / Disposable E-Cig,3.25,17,TPL_0043
BLKO - Loud (LIQ FB)(100mL) TFN|nan,BLKO - Loud (LIQ FB)(100mL) TFN,,All / Saleable / E-Juice,4.5,4,TPL_0044
BLKO - Loud (LIQ FB)(100mL)TFN|nan,BLKO - Loud (LIQ FB)(100mL)TFN,,All / Saleable / E-Juice,4.5,1,TPL_0045
"BLLD - Lucid Boost (Dispo) (20,123Puff)(18mL)|18.0","BLLD - Lucid Boost (Dispo) (20,123Puff)(18mL)",18.0,All / Saleable / Disposable E-Cig,6.15,4,TPL_0046
"BLLD - Lucid Boost/Yogi (Dispo) (20,123Puff)(18mL)|18.0","BLLD - Lucid Boost/Yogi (Dispo) (20,123Puff)(18mL)",18.0,All / Saleable / Disposable E-Cig,7.0,3,TPL_0047
BLVK - BLVK (LIQ FB)(100mL) TF-Nic|100.0,BLVK - BLVK (LIQ FB)(100mL) TF-Nic,100.0,All / Saleable / E-Juice,6.0,6,TPL_0048
BLVK - BLVK (LIQ FB)(100mL) ZERO|100.0,BLVK - BLVK (LIQ FB)(100mL) ZERO,100.0,All / Saleable / E-Juice,5.0,1,TPL_0049
BLVK - BLVK (LIQ FB)(60mL)|60.0,BLVK - BLVK (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,5.0,23,TPL_0050
BLVK - BLVK (LIQ SALT)(30mL) ZERO|30.0,BLVK - BLVK (LIQ SALT)(30mL) ZERO,30.0,All / Saleable / E-Juice,5.0,1,TPL_0051
BLVK - BLVK (LIQ Salt)(30mL) Aloe TF-Nic|30.0,BLVK - BLVK (LIQ Salt)(30mL) Aloe TF-Nic,30.0,All / Saleable / E-Juice,5.0,6,TPL_0052
BLVK - BLVK (LIQ Salt)(30mL) Frost|30.0,BLVK - BLVK (LIQ Salt)(30mL) Frost,30.0,All / Saleable / E-Juice,5.0,2,TPL_0053
BLVK - BLVK (LIQ Salt)(30mL) Fuji|30.0,BLVK - BLVK (LIQ Salt)(30mL) Fuji,30.0,All / Saleable / E-Juice,5.0,1,TPL_0054
BLVK - BLVK (LIQ Salt)(30mL) Fusion|30.0,BLVK - BLVK (LIQ Salt)(30mL) Fusion,30.0,All / Saleable / E-Juice,4.18,5,TPL_0055
BLVK - BLVK (LIQ Salt)(30mL) Melon (Fruit Iced)|30.0,BLVK - BLVK (LIQ Salt)(30mL) Melon (Fruit Iced),30.0,All / Saleable / E-Juice,5.0,1,TPL_0056
BLVK - BLVK (LIQ Salt)(30mL) N' Yellow|30.0,BLVK - BLVK (LIQ Salt)(30mL) N' Yellow,30.0,All / Saleable / E-Juice,4.4875,4,TPL_0057
BLVK - BLVK (LIQ Salt)(30mL) Pink|30.0,BLVK - BLVK (LIQ Salt)(30mL) Pink,30.0,All / Saleable / E-Juice,5.0,4,TPL_0058
BLVK - BLVK (LIQ Salt)(30mL) Plus|30.0,BLVK - BLVK (LIQ Salt)(30mL) Plus,30.0,All / Saleable / E-Juice,5.0,4,TPL_0059
BLVK - BLVK (LIQ Salt)(30mL)|30.0,BLVK - BLVK (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.0,6,TPL_0060
BLVK - BLVK Bar (Dispo) (20000Puff)(22mL)|22.0,BLVK - BLVK Bar (Dispo) (20000Puff)(22mL),22.0,All / Saleable / Disposable E-Cig,7.25,1,TPL_0061
CACQ - Foger Switch Pro 30K Pod (19mL)(1-Pack)|19.0,CACQ - Foger Switch Pro 30K Pod (19mL)(1-Pack),19.0,All / Saleable / Replacement Pod,9.0,2,TPL_0062
CACQ - Foger Switch Pro Starter Kit (Dispo) (30000Puff)(19mL)|19.0,CACQ - Foger Switch Pro Starter Kit (Dispo) (30000Puff)(19mL),19.0,All / Saleable / Kit,11.5,1,TPL_0063
CHNV - Chain Vapez (LIQ FB)(120mL; 60mL x2)|nan,CHNV - Chain Vapez (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,2.95,1,TPL_0064
CHRL - Pachamama (Dispo) (4500Puff)(12mL) TFN|12.0,CHRL - Pachamama (Dispo) (4500Puff)(12mL) TFN,12.0,All / Saleable / Disposable E-Cig,1.95,2,TPL_0065
CHRL - Pachamama (LIQ FB)(60mL)|60.0,CHRL - Pachamama (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,4.978947368421053,19,TPL_0066
CHRL - Pachamama (LIQ Salt)(30mL)|30.0,CHRL - Pachamama (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.9984375,32,TPL_0067
CHRL - Pachamama Plus Metatine (LIQ Salt)(30mL)|30.0,CHRL - Pachamama Plus Metatine (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.983333333333333,3,TPL_0068
CSTL - Coastal Clouds (LIQ FB)(100mL)|100.0,CSTL - Coastal Clouds (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,6.25,5,TPL_0069
CSTL - Coastal Clouds (LIQ FB)(60mL) TFN|60.0,CSTL - Coastal Clouds (LIQ FB)(60mL) TFN,60.0,All / Saleable / E-Juice,4.5,15,TPL_0070
