sku,name,qty,price,category,product_name,flavor,nicotine_mg,volume_ml,template_key,template_id,variant_id
ONT017346,TNRD - It's Pixy (LIQ FB)(100mL) - Sour Green Apple 06mg,0.05,6.75,All / Saleable / E-Juice,TNRD - It's Pixy (LIQ FB)(100mL),Sour Green Apple,6.0,100.0,TNRD - It's Pixy (LIQ FB)(100mL)|100.0,TPL_0465,VAR_2860
ONT023888,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m) - Apple Ice 50mg,0.016666667,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m),Apple Ice,50.0,,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m)|nan,TPL_0466,VAR_2861
ONT027758,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m) - Crispy Treat 50mg,0.066666667,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m),Crispy Treat,50.0,,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m)|nan,TPL_0466,VAR_2862
ONT023889,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m) - Grapefruit Ice 50mg,0.016666667,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m),Grapefruit Ice,50.0,,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m)|nan,TPL_0466,VAR_2863
ONT022997,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m) - Honeydew Ice 50mg,0.033333333,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m),Honeydew Ice,50.0,,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m)|nan,TPL_0466,VAR_2864
ONT023891,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m) - Lychee Ice 50mg,0.033333333,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m),Lychee Ice,50.0,,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m)|nan,TPL_0466,VAR_2865
ONT022998,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m) - Peach Ice 50mg,0.066666667,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m),Peach Ice,50.0,,TNRD - Lucid Air (Dispo) (5000Puff)(16.7m)|nan,TPL_0466,VAR_2866
ONT032457,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL) - Aloe Grape Ice 50mg,0.025,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL),Aloe Grape Ice,50.0,12.0,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL)|12.0,TPL_0467,VAR_2867
ONT034055,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL) - Apple Ice 50mg,0.05,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL),Apple Ice,50.0,12.0,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL)|12.0,TPL_0467,VAR_2868
ONT034058,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL) - Lychee Ice 50mg,0.025,2.95,All / Saleable / Disposable E-Cig,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL),Lychee Ice,50.0,12.0,TNRD - Lucid Air Plus Mesh (Dispo) (5000Puff) 5% (12mL)|12.0,TPL_0467,VAR_2869
ONT032147,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL) - Dragon Lychee Ice 50mg,0.25,7.75,All / Saleable / Disposable E-Cig,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL),Dragon Lychee Ice,50.0,14.0,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL)|14.0,TPL_0468,VAR_2870
ONT034548,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL) - Hawaiian Pog Ice 50mg,0.05,7.75,All / Saleable / Disposable E-Cig,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL),Hawaiian Pog Ice,50.0,14.0,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL)|14.0,TPL_0468,VAR_2871
ONT032151,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL) - Peach Orange Cranberry 50mg,0.05,7.75,All / Saleable / Disposable E-Cig,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL),Peach Orange Cranberry,50.0,14.0,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL)|14.0,TPL_0468,VAR_2872
ONT034553,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL) - Watermelon Bubblegum Ice 50mg,0.05,7.75,All / Saleable / Disposable E-Cig,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL),Watermelon Bubblegum Ice,50.0,14.0,TNRD - Lucid Charge (Dispo) (7000Puff)(14mL)|14.0,TPL_0468,VAR_2873
ONT028359,TNRD - Lucid Flow (Dispo) (5000Puff)(16.7mL) - Citrus Delight Ice 50mg,0.1666666666666666,6.5,All / Saleable / Disposable E-Cig,TNRD - Lucid Flow (Dispo) (5000Puff)(16.7mL),Citrus Delight Ice,50.0,,TNRD - Lucid Flow (Dispo) (5000Puff)(16.7mL)|nan,TPL_0469,VAR_2874
ONT017362,TNRD - Pixy (LIQ Salt)(30mL) - Sour Green Apple Chilled 50mg,0.018181818,5.5,All / Saleable / E-Juice,TNRD - Pixy (LIQ Salt)(30mL),Sour Green Apple Chilled,50.0,30.0,TNRD - Pixy (LIQ Salt)(30mL)|30.0,TPL_0470,VAR_2875
ONT038850,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Blue Raspberry Lemonade 50mg,0.05,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Blue Raspberry Lemonade,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2876
ONT038851,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Double Apple Ice 50mg,0.05,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Double Apple Ice,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2877
ONT038852,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Energy Ice 50mg,0.05,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Energy Ice,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2878
ONT038853,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Honeydew Ice 50mg,0.1,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Honeydew Ice,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2879
