id,name,categ_id/id,type,sale_ok,list_price,default_code,attribute_line_ids/attribute_id/id,attribute_line_ids/value_ids/id
template_7dze_-_7daze_clickmate_5_starter_kit_dispo_15000puff18ml,7DZE - 7Daze Clickmate 5% Starter Kit (Dispo) (15000Puff)(18mL),__export__.product_category_27_88c4d517,consu,True,7.38,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7403_bacb62a8,__export__.product_attribute_value_3737_5a3441a1,__export__.product_attribute_value_7675_61a15685,__export__.product_attribute_value_7684_ccb5b325,__export__.product_attribute_value_7689_bc02bed8,__export__.product_attribute_value_7790_390236fe,__export__.product_attribute_value_7804_d426486e,__export__.product_attribute_value_7810_58a622f3,__export__.product_attribute_value_8090_f334c6c3"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_7dze_-_7daze_clickmates_2_prefilled_mates_max_2-pack,7DZE - 7Daze Clickmates 2% Prefilled Mates MAX (2-Pack),__export__.product_category_27_88c4d517,consu,True,5.25,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_3541_d22a09a0,__export__.product_attribute_value_4580_825ea24e,__export__.product_attribute_value_8090_f334c6c3,__export__.product_attribute_value_8134_b8f72605,__export__.product_attribute_value_4962_2645deb7"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8324_caee7279
template_7dze_-_7daze_clickmates_5_prefilled_mates_max_2-pack,7DZE - 7Daze Clickmates 5% Prefilled Mates MAX (2-Pack),__export__.product_category_27_88c4d517,consu,True,5.25,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_3541_d22a09a0,__export__.product_attribute_value_3635_4cc89569,__export__.product_attribute_value_3910_329ff2f9,__export__.product_attribute_value_7585_76eaec08,__export__.product_attribute_value_7614_ea1c35e4,__export__.product_attribute_value_7675_61a15685,__export__.product_attribute_value_7676_2476b45e,__export__.product_attribute_value_7684_ccb5b325,__export__.product_attribute_value_7689_bc02bed8,__export__.product_attribute_value_7738_ce929f4e,__export__.product_attribute_value_4237_001237b8,__export__.product_attribute_value_7769_8885d1cf,__export__.product_attribute_value_7790_390236fe,__export__.product_attribute_value_7811_0fff8efb,__export__.product_attribute_value_7926_89c6eaaa,__export__.product_attribute_value_4580_825ea24e,__export__.product_attribute_value_8017_932f1512,__export__.product_attribute_value_8040_413b0098,__export__.product_attribute_value_4729_378d1ab2,__export__.product_attribute_value_8071_333a5611,__export__.product_attribute_value_8090_f334c6c3,__export__.product_attribute_value_8134_b8f72605,__export__.product_attribute_value_4962_2645deb7"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_7dze_-_7daze_egge_dispo_3000puff7ml,7DZE - 7Daze Egge (Dispo) (3000Puff)(7mL),__export__.product_category_27_88c4d517,consu,True,1.95,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7279_8e078ad1,__export__.product_attribute_value_7559_70e78467,__export__.product_attribute_value_7683_f2592acd,__export__.product_attribute_value_4207_e94fb00c,__export__.product_attribute_value_7784_443bc8df,__export__.product_attribute_value_7830_d3f4ef0d,__export__.product_attribute_value_7871_da566e36,__export__.product_attribute_value_8000_28344fcf,__export__.product_attribute_value_8077_69e31ee0,__export__.product_attribute_value_8099_dda27557,__export__.product_attribute_value_8224_fd711045,__export__.product_attribute_value_5207_11223db2"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_7dze_-_pouchmates_dsply_5pcnic_pouch20ct_cansas,7DZE - PouchMates (DSPLY 5pc)(Nic Pouch)(20ct Can)(SAS),__export__.product_category_27_88c4d517,consu,True,10.00,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_4002_b1295968
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8328_936b70e3
template_airo_-_elf_bar_airo_max_dispo_5000puff13ml,AIRO - Elf Bar Airo Max (Dispo) (5000Puff)(13mL),__export__.product_category_27_88c4d517,consu,True,0.50,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_4782_62d35aa7
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_altz_-_alt_zero_liq_fb100ml,ALTZ - Alt Zero (LIQ FB)(100mL),__export__.product_category_27_88c4d517,consu,True,7.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7710_29e533df,__export__.product_attribute_value_7711_b040a914,__export__.product_attribute_value_7712_8f102970"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
