Internal Reference,Product Name,On Hand,Sales Price,Odoo Category,UoM Ratio,Minimum Purchase Qty,Company
ONT036909,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple Ice 00mg,20,5.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT036910,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple Ice 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036911,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple Ice 06mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT036891,7DZE - 7Daze (LIQ FB)(100mL) Reds - Berries 00mg,20,5.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT036892,7DZE - 7Daze (LIQ FB)(100mL) Reds - Berries 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036893,7DZE - 7Daze (LIQ FB)(100mL) Reds - Berries 06mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036912,7DZE - 7Daze (LIQ FB)(100mL) Reds - Berries Ice 00mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT036913,7DZE - 7Daze (LIQ FB)(100mL) Reds - Berries Ice 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036914,7DZE - 7Daze (LIQ FB)(100mL) Reds - Berries Ice 06mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036894,7DZE - 7Daze (LIQ FB)(100mL) Reds - Gold Kiwi 00mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036895,7DZE - 7Daze (LIQ FB)(100mL) Reds - Gold Kiwi 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT036896,7DZE - 7Daze (LIQ FB)(100mL) Reds - Gold Kiwi 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036916,7DZE - 7Daze (LIQ FB)(100mL) Reds - Gold Kiwi Ice 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036917,7DZE - 7Daze (LIQ FB)(100mL) Reds - Gold Kiwi Ice 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036898,7DZE - 7Daze (LIQ FB)(100mL) Reds - Grape 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036899,7DZE - 7Daze (LIQ FB)(100mL) Reds - Grape 06mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT036919,7DZE - 7Daze (LIQ FB)(100mL) Reds - Grape Ice 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036920,7DZE - 7Daze (LIQ FB)(100mL) Reds - Grape Ice 06mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036901,7DZE - 7Daze (LIQ FB)(100mL) Reds - Mango 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT036902,7DZE - 7Daze (LIQ FB)(100mL) Reds - Mango 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036922,7DZE - 7Daze (LIQ FB)(100mL) Reds - Mango Ice 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT041575,7DZE - 7Daze (LIQ FB)(100mL) Reds - Peach 00mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT041576,7DZE - 7Daze (LIQ FB)(100mL) Reds - Peach 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT041577,7DZE - 7Daze (LIQ FB)(100mL) Reds - Peach 06mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT041579,7DZE - 7Daze (LIQ FB)(100mL) Reds - Peach Iced 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT041580,7DZE - 7Daze (LIQ FB)(100mL) Reds - Peach Iced 06mg,20,5.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT036903,7DZE - 7Daze (LIQ FB)(100mL) Reds - Strawberry 00mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036904,7DZE - 7Daze (LIQ FB)(100mL) Reds - Strawberry 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036905,7DZE - 7Daze (LIQ FB)(100mL) Reds - Strawberry 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT036925,7DZE - 7Daze (LIQ FB)(100mL) Reds - Strawberry Ice 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT036926,7DZE - 7Daze (LIQ FB)(100mL) Reds - Strawberry Ice 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT036906,7DZE - 7Daze (LIQ FB)(100mL) Reds - Watermelon 00mg,20,5.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT036907,7DZE - 7Daze (LIQ FB)(100mL) Reds - Watermelon 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036908,7DZE - 7Daze (LIQ FB)(100mL) Reds - Watermelon 06mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036927,7DZE - 7Daze (LIQ FB)(100mL) Reds - Watermelon Ice 00mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT036928,7DZE - 7Daze (LIQ FB)(100mL) Reds - Watermelon Ice 03mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036929,7DZE - 7Daze (LIQ FB)(100mL) Reds - Watermelon Ice 06mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT031982,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100 - Slapple 00mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031983,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100 - Slapple 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT031984,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100 - Slapple 06mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT031989,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100 - Slapple Iced 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT031990,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100 - Slapple Iced 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT038725,7DZE - 7Daze (LIQ FB)(100mL) TF-Nic - 7obacco 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT038726,7DZE - 7Daze (LIQ FB)(100mL) TF-Nic - 7obacco 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT038729,7DZE - 7Daze (LIQ FB)(100mL) TF-Nic - Glacial Mint 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT017504,7DZE - 7Daze (LIQ FB)(60mL) Reds - Fruit Mix Iced 12mg (Discontinued),25,1.5,All / Saleable / E-Juice,50,0.5,Doublelift
ONT017507,7DZE - 7Daze (LIQ FB)(60mL) Reds - Guava 12mg (Discontinued),5,1.5,All / Saleable / E-Juice,50,0.1,Doublelift
ONT000964,7DZE - 7Daze (LIQ FB)(60mL) Reds - Mango Iced 00mg,20,1.5,All / Saleable / E-Juice,50,0.4,Doublelift
ONT000966,7DZE - 7Daze (LIQ FB)(60mL) Reds - Mango Iced 06mg,50,0.95,All / Saleable / E-Juice,50,1,Doublelift
ONT012774,7DZE - 7Daze (LIQ FB)(60mL) Reds - Strawberry Iced 00mg,10,1.5,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028432,7DZE - 7Daze (LIQ FB)(60mL) TF-Nic - 7obacco (Tobacco) 00mg,10,0.95,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028635,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Banana Cantaloupe Honeydew 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT030710,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Grape Apple Aloe 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030712,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Grape Apple Aloe Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031395,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Kiwi Passion Guava 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031397,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Kiwi Passion Guava Iced 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028621,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Lemon Passionfruit Blueberry Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031409,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Orange Cream Mango Iced 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028623,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Orange Yuzu Tangerine 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028624,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Orange Yuzu Tangerine 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028625,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Orange Yuzu Tangerine Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028627,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Pineapple Coconut Banana 30mg,50,4.75,All / Saleable / E-Juice,50,1,Doublelift
ONT028628,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Pineapple Coconut Banana 50mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
